fsm,wis,ois,wisp,oisp,7676,134524,226452,334353,449872,543342,636439,74765,93925383,103539682,median
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.559 --n1x1 0 --c1x1 2 --p1x1 0.018 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.396 --n2x1 2 --c2x1 2 --p2x1 0.782 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.177 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.704 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,47.55,0.009,46.171,0.009,39.0,39.0,43.0,44.0,46.0,30.0,43.0,37.0,42.0,45.0,42.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.16 --n1x1 0 --c1x1 2 --p1x1 0.513 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.318 --n2x1 2 --c2x1 2 --p2x1 0.829 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.126 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.964 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,46.733,1151470.0,45.96,1132430.0,47.0,47.0,41.0,49.0,42.0,47.0,44.0,46.0,48.0,43.0,46.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.883 --n1x1 0 --c1x1 2 --p1x1 0.644 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.103 --n2x1 2 --c2x1 2 --p2x1 0.422 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.511 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.989 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,48.75,3.46893e+18,47.351,3.36934e+18,41.0,48.0,41.0,42.0,43.0,55.0,41.0,59.0,58.0,45.0,44.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.156 --n1x1 0 --c1x1 2 --p1x1 0.77 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.509 --n2x1 2 --c2x1 2 --p2x1 0.448 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.94 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.089 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,51.051,2.00212e+23,49.577,1.94434e+23,45.0,44.0,44.0,39.0,47.0,44.0,51.0,43.0,45.0,36.0,44.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.651 --n1x1 0 --c1x1 2 --p1x1 0.581 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.784 --n2x1 2 --c2x1 2 --p2x1 0.287 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.92 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.36 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,51.596,478135000000.0,50.107,464334000000.0,45.0,48.0,46.0,42.0,48.0,51.0,58.0,47.0,52.0,45.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.784 --n1x1 0 --c1x1 2 --p1x1 0.384 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.148 --n2x1 2 --c2x1 2 --p2x1 0.013 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.58 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.195 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,30.683,0.218,46.63,0.331,47.0,42.0,48.0,50.0,50.0,55.0,46.0,54.0,43.0,47.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.849 --n1x1 0 --c1x1 2 --p1x1 0.63 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.051 --n2x1 2 --c2x1 2 --p2x1 0.142 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.84 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.835 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,46.04,2.53401e+16,44.727,2.46174e+16,53.0,53.0,51.0,52.0,49.0,52.0,45.0,54.0,53.0,50.0,52.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.035 --n1x1 0 --c1x1 2 --p1x1 0.006 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.418 --n2x1 2 --c2x1 2 --p2x1 0.422 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.332 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.35 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,47.376,0.0,46.002,0.0,44.0,37.0,30.0,31.0,33.0,37.0,28.0,38.0,39.0,41.0,37.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.576 --n1x1 0 --c1x1 2 --p1x1 0.683 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.764 --n2x1 2 --c2x1 2 --p2x1 0.446 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.645 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.422 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,48.561,5.55606e+20,47.167,5.39662e+20,44.0,44.0,51.0,54.0,52.0,45.0,48.0,51.0,50.0,48.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.258 --n1x1 0 --c1x1 2 --p1x1 0.094 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.536 --n2x1 2 --c2x1 2 --p2x1 0.857 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.978 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.904 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,47.969,0.034,46.577,0.033,47.0,43.0,47.0,43.0,41.0,37.0,47.0,48.0,47.0,40.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.828 --n1x1 0 --c1x1 2 --p1x1 0.759 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.206 --n2x1 2 --c2x1 2 --p2x1 0.323 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.577 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.331 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,47.596,6.5185e+25,46.233,6.33187e+25,40.0,50.0,51.0,46.0,59.0,54.0,44.0,53.0,55.0,50.0,50.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.86 --n1x1 0 --c1x1 2 --p1x1 0.112 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.762 --n2x1 2 --c2x1 2 --p2x1 0.095 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.031 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.391 --n3x3 0 --c3x3 4 --p3x3 9 --w3x3 1.02 ,47.558,0.01,46.184,0.01,43.0,48.0,45.0,51.0,53.0,46.0,37.0,41.0,43.0,52.0,45.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.281 --n1x1 0 --c1x1 2 --p1x1 0.861 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.469 --n2x1 2 --c2x1 2 --p2x1 0.349 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.014 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.23 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,46.158,1.28957e+30,44.841,1.2527800000000001e+30,47.0,53.0,50.0,48.0,56.0,50.0,49.0,46.0,46.0,43.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.175 --n1x1 0 --c1x1 2 --p1x1 0.183 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.869 --n2x1 2 --c2x1 2 --p2x1 0.976 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.555 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.203 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,48.03,0.048,46.71,0.046,39.0,49.0,42.0,45.0,41.0,42.0,44.0,45.0,46.0,39.0,43.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.613 --n1x1 0 --c1x1 2 --p1x1 0.463 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.671 --n2x1 2 --c2x1 2 --p2x1 0.988 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.676 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.539 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,47.637,3.688,47.951,3.712,49.0,49.0,44.0,54.0,48.0,49.0,45.0,47.0,42.0,51.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.894 --n1x1 0 --c1x1 2 --p1x1 0.108 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.298 --n2x1 2 --c2x1 2 --p2x1 0.8 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.836 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.857 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,49.296,0.14,47.867,0.136,42.0,51.0,44.0,54.0,52.0,48.0,42.0,43.0,49.0,37.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.31 --n1x1 0 --c1x1 2 --p1x1 0.934 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.414 --n2x1 2 --c2x1 2 --p2x1 0.861 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.193 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.152 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,49.37,1.53806e+35,47.951,1.49384e+35,46.0,43.0,50.0,44.0,46.0,47.0,49.0,43.0,47.0,57.0,46.5
